,qb_name,total_starts,cumulative_era_adjusted_elo_value,average_era_adjusted_elo_value,winning_percentage,pct_of_starts_as_best_qb,pct_of_starts_as_top3_qb,pct_of_starts_as_top5_qb
19,Archie Manning,139,1882.189752778547,13.540933473226957,0.2517985611510791,0.03597122302158273,0.19424460431654678,0.2949640287769784
252,George Shaw,31,-531.4168898105164,-17.142480316468273,0.3870967741935484,0.03225806451612903,0.06451612903225806,0.12903225806451613
67,Brad Johnson,132,2135.3586109803005,16.176959174093184,0.5757575757575758,0.030303030303030304,0.13636363636363635,0.19696969696969696
196,Donovan McNabb,176,6330.109135948031,35.9665291815229,0.6022727272727273,0.028409090909090908,0.23863636363636365,0.3977272727272727
238,Gary Hogeboom,37,-449.5702546005446,-12.150547421636341,0.4864864864864865,0.02702702702702703,0.05405405405405406,0.05405405405405406
383,Ken O'Brien,112,58.309285137401346,0.5206186172982263,0.44642857142857145,0.026785714285714284,0.08035714285714286,0.16071428571428573
178,Deshaun Watson,38,1224.0303367949343,32.21132465249827,0.631578947368421,0.02631578947368421,0.07894736842105263,0.2631578947368421
27,Ben Roethlisberger,237,6209.423852113449,26.2001006418289,0.6624472573839663,0.02531645569620253,0.18565400843881857,0.25316455696202533
98,Cam Newton,131,3029.1450770347524,23.123244862860705,0.5419847328244275,0.022900763358778626,0.061068702290076333,0.16793893129770993
342,Joe Theismann,132,3951.4909185629767,29.935537261840732,0.6287878787878788,0.022727272727272728,0.1590909090909091,0.36363636363636365
319,Jim Kelly,177,4068.08230780436,22.98351586330147,0.6214689265536724,0.022598870056497175,0.14124293785310735,0.2655367231638418
528,Russell Wilson,140,3582.2329126967534,25.587377947833954,0.6714285714285714,0.02142857142857143,0.10714285714285714,0.25
212,Ed Brown,97,-1038.051088584685,-10.701557614275103,0.5463917525773195,0.020618556701030927,0.10309278350515463,0.21649484536082475
441,Matt Ryan,198,8515.382462549049,43.00698213408611,0.5656565656565656,0.020202020202020204,0.16666666666666666,0.3888888888888889
523,Ron Jaworski,151,259.734811831555,1.7200980915997022,0.5099337748344371,0.019867549668874173,0.06622516556291391,0.11920529801324503
321,Jim McMahon,103,790.4229658287446,7.674009376978103,0.6796116504854369,0.019417475728155338,0.10679611650485436,0.1553398058252427
24,Babe Parilli,103,310.6015399183908,3.0155489312465127,0.4854368932038835,0.019417475728155338,0.1262135922330097,0.17475728155339806
476,Norm Van Brocklin,105,3163.1666827246095,30.125396978329615,0.6,0.01904761904761905,0.47619047619047616,0.780952380952381
314,Jim Everett,158,2669.7389227413128,16.89708178950198,0.4177215189873418,0.0189873417721519,0.13924050632911392,0.25949367088607594
54,Bob Griese,162,1958.8579095472548,12.091715491032437,0.6049382716049383,0.018518518518518517,0.07407407407407407,0.19753086419753085
350,John Hadl,168,1443.4903175341483,8.592204271036596,0.4880952380952381,0.017857142857142856,0.10119047619047619,0.20833333333333334
654,Vince Ferragamo,59,-445.5244566535286,-7.551261977178451,0.5084745762711864,0.01694915254237288,0.06779661016949153,0.1694915254237288
107,Charley Johnson,124,664.8255794132261,5.361496608171178,0.47580645161290325,0.016129032258064516,0.04838709677419355,0.13709677419354838
130,Colin Kaepernick,64,122.2754013487392,1.91055314607405,0.5,0.015625,0.046875,0.109375
165,David Garrard,78,726.8131355106793,9.318117121931786,0.5128205128205128,0.01282051282051282,0.01282051282051282,0.038461538461538464
433,Matt Hasselbeck,171,-947.3567324472189,-5.540097850568531,0.5263157894736842,0.011695906432748537,0.03508771929824561,0.08771929824561403
157,Dave Krieg,184,-86.9312569494929,-0.4724524834211571,0.5489130434782609,0.010869565217391304,0.043478260869565216,0.13043478260869565
100,Carson Palmer,185,3550.244353333984,19.190510018021534,0.5027027027027027,0.010810810810810811,0.16216216216216217,0.2648648648648649
14,Andrew Luck,94,2682.886479092062,28.54134552225598,0.6063829787234043,0.010638297872340425,0.1595744680851064,0.3191489361702128
152,Danny White,102,2243.041988178033,21.99060772723562,0.6568627450980392,0.00980392156862745,0.06862745098039216,0.30392156862745096
569,Steve Beuerlein,104,-1605.7693499971178,-15.440089903818441,0.46153846153846156,0.009615384615384616,0.04807692307692308,0.08653846153846154
291,Jay Schroeder,104,-1662.8958142681693,-15.989382829501627,0.6153846153846154,0.009615384615384616,0.009615384615384616,0.038461538461538464
273,Jack Kemp,111,-20.82929527474814,-0.1876513087815148,0.6036036036036037,0.009009009009009009,0.12612612612612611,0.26126126126126126
28,Bernie Kosar,115,1076.140585423708,9.357744221075722,0.48695652173913045,0.008695652173913044,0.06956521739130435,0.14782608695652175
39,Billy Kilmer,121,204.1514172346411,1.6872017953276124,0.5206611570247934,0.008264462809917356,0.049586776859504134,0.11570247933884298
339,Joe Namath,132,235.71832133947956,1.785744858632421,0.48484848484848486,0.007575757575757576,0.022727272727272728,0.08333333333333333
137,Craig Morton,154,-408.1801967410952,-2.6505207580590597,0.5584415584415584,0.006493506493506494,0.05194805194805195,0.05844155844155844
419,Mark Brunell,162,1116.984175259507,6.894964044811772,0.5185185185185185,0.006172839506172839,0.09259259259259259,0.17901234567901234
